StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q14,Q114,Q114_1_TEXT,Q1,Q2,Q15,Q85,Q17,Q120,Q18,Q19,Q20,Q21,Q23,Q24,Q25,Q26,Q27,Q115,Q50,Q51,Q52,Q53,Q68,Q69,Q70,Q70_3_TEXT,Q71,Q34,Q93,Q37,Q95,Q87,Q92,Q40,Q40_3_TEXT,Q41,Q41_3_TEXT,Q111,Q42,Q42_3_TEXT,Q43,Q44,Q94,Q47,Q97,Q98,Q99,Q54,Q54_3_TEXT,Q55,Q55_3_TEXT,Q112,Q56,Q56_3_TEXT,Q57,Q57_3_TEXT,Q58,Q58_3_TEXT,Q59,Q59_3_TEXT,Q60,Q61,Q104,Q64,Q106,Q102,Q103,Q72,Q73,Q113,Q74,Q75,Q76,Q77,Q78,Q109,Q110,Q82,Q82_3_TEXT,Q101,Q107,Q108,Treatment Group
2/22/21 4:39,2/25/21 14:23,IP Address,*******,100,294295,TRUE,2/25/21 14:23,R_1lrFn0hlR8frbO6,*******,*******,*******,*******,*******,*******,anonymous,EN,"Yes, I give my consent to be the subject of the research.",,,,,,,,,,,,,,,Yes,Northeast,Strongly Oppose,,Somewhat disagree,Neither agree nor disagree,Marginally Hardworking,Marginally Intelligent,Yes,Better,Yes,,Slightly important,Agree,Moderately Disagree,Disagree,Completely Disagree,Completely Disagree,Moderately Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/25/21 14:24,2/25/21 14:37,IP Address,*******,100,805,TRUE,2/25/21 14:37,R_1GHOSJYUlEhm5M4,*******,*******,*******,*******,*******,*******,anonymous,EN,"Yes, I give my consent to be the subject of the research.",,,"Black or African-American,Asian or Asian American",Male,45,"Some High School, No Diploma",,,Democrat,Conservative,0k-24k,Yes,Yes,bb,Yes,Northeast,Strongly Oppose,,,,,,Yes,,Yes,,Extremely important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/25/21 14:37,2/25/21 14:41,IP Address,*******,100,210,TRUE,2/25/21 14:41,R_3qOkqyJ2ES1tO67,*******,*******,*******,*******,*******,*******,anonymous,EN,"Yes, I give my consent to be the subject of the research.",,,White,Male,88,"Some High School, No Diploma",,,Democrat,Conservative,0k-24k,Yes,Yes,kk,No,Northeast,,,Somewhat disagree,Somewhat disagree,,Moderately Intelligent,Yes,,,,,,,,,,,Yes,,Yes,,Yes,No,,n,Agree,Moderately Agree,Agree,Completely Disagree,Completely Disagree,Moderately Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/25/21 15:38,2/25/21 16:09,IP Address,*******,100,1867,TRUE,2/25/21 16:09,R_2V1ngwqcp4J2In1,*******,*******,*******,*******,*******,*******,anonymous,EN,"Yes, I give my consent to be the subject of the research.",,,Black or African-American,Male,20,Bachelor's Degree,,,Independent,Moderate,300k-500k,No,No,,Yes,Southeast,Strongly Oppose,,Strongly disagree,Strongly agree,Moderately Hardworking,Neutral,Yes,Worse,Yes,"I don't like the phrasing of this, but I agree it isn't set up well for black ppl",Moderately important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,,No,,Agree,Completely Disagree,"Disagree,Explain your opinion.","Not fully, some should",Completely Agree,Moderately Disagree,Neither Agree Nor Disagree,
2/28/21 14:55,2/28/21 15:13,IP Address,*******,100,1061,TRUE,2/28/21 15:13,R_3er7SDt4sWH9Ahv,*******,*******,*******,*******,*******,*******,anonymous,EN,"Yes, I give my consent to be the subject of the research.",,,Black or African-American,Male,20,"Some College, No Diploma",,,Democrat,Moderate,25k-50k,Yes,,,Yes,Mid Atlantic,Strongly Oppose,,Strongly disagree,Strongly agree,Extremely Hardworking,Extremely Intelligent,Yes,Worse,Explain your opinion here.,No matter how hard black Americans try they will always have to face problems that white American’s don’t  ,Very important,Agree,Neither Agree Nor Disagree,Agree,Completely Agree,Completely Disagree,Completely Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/21 17:38,2/28/21 17:49,IP Address,*******,100,673,TRUE,2/28/21 17:49,R_sI6XWtckEbla9Ql,*******,*******,*******,*******,*******,*******,anonymous,EN,"Yes, I give my consent to be the subject of the research.",,,"White,Hispanic/Latinx",Male,22,High School Degree or GED,,,Democrat,Moderate,0k-24k,No,,,Yes,Northeast,Strongly Oppose,,Somewhat disagree,Strongly agree,Moderately Hardworking,Moderately Intelligent,Yes,Worse,Yes,,Extremely important,Agree,Moderately Agree,Agree,Completely Agree,Completely Disagree,Completely Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/21 17:49,2/28/21 17:57,IP Address,*******,100,512,TRUE,2/28/21 17:57,R_2Bh3IhBAHGuCrVn,*******,*******,*******,*******,*******,*******,anonymous,EN,"Yes, I give my consent to be the subject of the research.",,,Black or African-American,Male,20,High School Degree or GED,,,Democrat,Liberal,50k-100k,No,,,No,Northeast,Strongly Oppose,,Strongly disagree,Strongly agree,Moderately Hardworking,Extremely Intelligent,Yes,Worse,Yes,,Very important,,,,,,,No,,No,,No,Yes,,,Agree,Neither Agree Nor Disagree,Agree,Completely Agree,Completely Disagree,Moderately Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/21 18:09,2/28/21 18:51,IP Address,*******,100,2516,TRUE,2/28/21 18:51,R_un1y9JS4ZC6LxLz,*******,*******,*******,*******,*******,*******,anonymous,EN,"Yes, I give my consent to be the subject of the research.",,,Black or African-American,Male,20,High School Degree or GED,,,Democrat,Liberal,25k-50k,No,,,Yes,Northeast,Somewhat Oppose,,Strongly disagree,Strongly agree,Moderately Hardworking,Extremely Intelligent,Yes,Worse,Explain your opinion here.,"The foundations of this country are built to systemically keep White people the dominant race. We may not have to fail, but it is a threat to be equal or higher than a white person.",Extremely important,,,,,,,,,,,,,,,,,,,,,No,,No,,No,No,,No,,Yes,,No,,,Agree,Moderately Agree,Disagree,Completely Agree,Completely Disagree,Completely Agree,,,,,,,,,,,,,,,,
2/28/21 20:22,2/28/21 20:36,IP Address,*******,100,859,TRUE,2/28/21 20:36,R_24OvPpEKj2I9rMa,*******,*******,*******,*******,*******,*******,anonymous,EN,"Yes, I give my consent to be the subject of the research.",,,Black or African-American,Male,21,Associate's Degree,,,Democrat,Liberal,50k-100k,No,,,Yes,Northeast,Strongly Oppose,,Strongly disagree,Strongly agree,Moderately Lazy,Moderately Intelligent,Yes,Worse,Explain your opinion here.,"Racism has transitioned from being “outright”, to systemic ",Extremely important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,No,No,No,,Agree,Completely Agree,"Agree,Explain your opinion.","COVID-19 isn’t going away, we need to learn to live with it. It’s like the flu ",Completely Agree,Completely Disagree,Completely Disagree,
2/25/21 14:41,3/1/21 11:55,IP Address,*******,100,335649,TRUE,3/1/21 11:55,R_24zRDdPk40ucbAd,*******,*******,*******,*******,*******,*******,anonymous,EN,"Yes, I give my consent to be the subject of the research.",,,Hispanic/Latinx,Other,,"Professional Degree (PhD, JD, MD)",,,Democrat,Liberal,25k-50k,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,No,Explain your opinion,,No,,Explain your opinion,,No,,,Agree,Moderately Disagree,Agree,Completely Agree,Neither Agree Nor Disagree,Completely Agree,,,,,,,,,,,,,,,,
3/1/21 11:55,3/1/21 12:00,IP Address,*******,100,286,TRUE,3/1/21 12:00,R_pSjrZ6lejx0lixP,*******,*******,*******,*******,*******,*******,anonymous,EN,"Yes, I give my consent to be the subject of the research.",Insert Below,8888,White,Female,,Associate's Degree,,,4,,25k-50k,Yes,,,Yes,Mid Atlantic,Strongly Oppose,,Neither agree nor disagree,Neither agree nor disagree,Marginally Hardworking,,Yes,Better,No,,Extremely important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Yes,,Agree,Completely Disagree,Disagree,,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,
3/1/21 9:15,3/1/21 18:24,IP Address,*******,100,32913,TRUE,3/1/21 18:24,R_24OvWlBt0AOyT8x,*******,*******,*******,*******,*******,*******,anonymous,EN,"Yes, I give my consent to be the subject of the research.",,,White,Female,21,High School Degree or GED,,,Independent,Moderate,50k-100k,No,,,Yes,Southeast,Strongly Oppose,,Strongly disagree,Strongly agree,Extremely Hardworking,Extremely Intelligent,Yes,Worse,Yes,,Extremely important,Agree,Neither Agree Nor Disagree,Agree,Completely Agree,Completely Disagree,Completely Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/21 18:30,3/1/21 18:51,IP Address,*******,100,1250,TRUE,3/1/21 18:51,R_3RqhtMXN2H0KK6l,*******,*******,*******,*******,*******,*******,anonymous,EN,"Yes, I give my consent to be the subject of the research.",,,White,Female,21,High School Degree or GED,,,Independent,Moderate,50k-100k,No,,,Yes,Southeast,Strongly Oppose,,Strongly disagree,Strongly agree,Extremely Hardworking,Extremely Intelligent,Yes,Worse,Yes,,Extremely important,,,,,,,,,,,,,,,,,,,,,Yes,,"No,Explain your opinion","While I do think that Jake Thomas blatantly violated NCAA rules, it was the coaches fault for offering these bribes in the first place. His coach initiated these illegal acts, and for an athlete an offer like this is uncomfortable to deny.  I think it's more fair to suspend him for a certain amount of games rather than an entire season that he really needs in order to get a good draft ranking. ",No,No,,No,,Yes,,No,,,Agree,Neither Agree Nor Disagree,Agree,Completely Agree,Completely Disagree,Completely Disagree,,,,,,,,,,,,,,,,
