StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q14,Q114,Q114_1_TEXT,Q1,Q2,Q15,Q85,Q17,Q18,Q120,Q19,Q20,Q21,Q23,Q24,Q25,Q26,Q27,Q115,Q50,Q51,Q52,Q53,Q68,Q69,Q70,Q70_3_TEXT,Q71,Q34,Q93,Q37,Q95,Q87,Q92,Q40,Q40_3_TEXT,Q41,Q41_3_TEXT,Q111,Q42,Q42_3_TEXT,Q43,Q44,Q94,Q47,Q97,Q98,Q99,Q54,Q54_3_TEXT,Q55,Q55_3_TEXT,Q112,Q56,Q56_3_TEXT,Q57,Q57_3_TEXT,Q58,Q58_3_TEXT,Q59,Q59_3_TEXT,Q60,Q61,Q104,Q64,Q106,Q102,Q103,Q72,Q73,Q113,Q74,Q75,Q76,Q77,Q78,Q109,Q110,Q82,Q82_3_TEXT,Q101,Q107,Q108,Treatment Group
3/10/21 22:16,3/10/21 22:30,IP Address,*******,100,823,True,3/10/21 22:30,R_2CdM95AREzFAx91,*******,*******,*******,*******,,,anonymous,EN,"Yes, I give my consent to be the subject of the research.",Insert Below,603fbcf8daf2e80ca7f7c60f,White,Female,31,"Master's Degree (MS, MBA, MED)",,Democrat,Yes,Liberal,51k-100k,No,,,No,Southeast,Somewhat Support,Neither Support Nor Oppose,Strongly disagree,Strongly agree,Neutral,Neutral,Yes,Worse,Explain your opinion here.,"There are policies that keep BIPOC from voting (barriers), inequities in health care and policies, poor representation by BIPOC in government",Extremely important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,Yes,Yes,No,No,,Disagree,Neither Agree Nor Disagree,"Disagree,Explain your opinion.",Should wait until it is safe to do so; or have a scientifically backed method for deciding partial play of the season based on current case numbers/percent positives etc,Completely Agree,Completely Disagree,Moderately Agree,Linked Fate Treatment Group
3/10/21 22:26,3/10/21 22:30,IP Address,*******,100,251,True,3/10/21 22:30,R_1KdODsgVYLFBtNH,*******,*******,*******,*******,,,anonymous,EN,"Yes, I give my consent to be the subject of the research.",Insert Below,5f97aa21817782171afa803b,White,Male,35,Bachelor's Degree,,Independent,Yes,Moderate,51k-100k,No,,,No,Northeast,Somewhat Oppose,Somewhat Oppose,Strongly disagree,Somewhat agree,Neutral,Neutral,Yes,Worse,No,,Moderately important,Agree,Moderately Disagree,Disagree,Completely Agree,Completely Disagree,Moderately Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retail Control Group
3/10/21 22:25,3/10/21 22:31,IP Address,*******,100,343,True,3/10/21 22:31,R_WwUPNEz5tNczrA5,*******,*******,*******,*******,,,anonymous,EN,"Yes, I give my consent to be the subject of the research.",Insert Below,5f5b27db857807236ee3e3f3,White,Male,26,Associate's Degree,,Republican,No,Conservative,25k-50k,No,,,No,Northeast,Somewhat Support,Neither Support Nor Oppose,Somewhat disagree,Somewhat agree,Neutral,Neutral,No,Worse,No,,Moderately important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,Yes,Yes,No,Yes,,Disagree,Completely Disagree,Disagree,,Moderately Agree,Moderately Disagree,Completely Agree,Linked Fate Treatment Group
3/10/21 22:24,3/10/21 22:31,IP Address,*******,100,457,True,3/10/21 22:31,R_2CxCdJUWFiIy69R,*******,*******,*******,*******,,,anonymous,EN,"Yes, I give my consent to be the subject of the research.",Insert Below,5eeaa7fe85ba0117909799df,"White,Native Hawaiian or Pacific Islander,Other",Female,41,Bachelor's Degree,,Independent,Yes,Moderate,51k-100k,No,,,Yes,Midwest,Somewhat Support,Neither Support Nor Oppose,Strongly disagree,Strongly agree,Moderately Hardworking,Extremely Intelligent,Yes,Worse,Yes,,Extremely important,,,,,,,Yes,,Yes,,No,No,,No,Disagree,Moderately Agree,Disagree,Completely Agree,Moderately Disagree,Completely Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Race Neutral Control Group
3/10/21 22:27,3/10/21 22:35,IP Address,*******,100,461,True,3/10/21 22:35,R_0IotEEoebsxsijv,*******,*******,*******,*******,,,anonymous,EN,"Yes, I give my consent to be the subject of the research.",Insert Below,60179276e6b0ba9f53339b8c,White,Female,28,High School Degree or GED,,Democrat,Yes,Liberal,51k-100k,No,,,No,Northwest,Strongly Oppose,Strongly Oppose,Strongly disagree,Strongly agree,Neutral,Neutral,No,Same,Yes,,Extremely important,,,,,,,,,,,,,,,,,,,,,Explain your opinion,"While he was technically in violation of their rules, I find those rules to be disgusting and not in the interest of the player.",No,,No,No,,No,,Yes,,No,,,Agree,Completely Disagree,Disagree,Completely Agree,Completely Disagree,Completely Agree,,,,,,,,,,,,,,,,Racial Resentment Treatment Group
3/10/21 22:30,3/10/21 22:36,IP Address,*******,100,339,True,3/10/21 22:36,R_248DDLiwVxwcQLf,*******,*******,*******,*******,,,anonymous,EN,"Yes, I give my consent to be the subject of the research.",Insert Below,6046c01189a49f1174474845,White,Female,25,Bachelor's Degree,,Democrat,Yes,Liberal,51k-100k,No,,,No,Midwest,Somewhat Support,Neither Support Nor Oppose,Strongly disagree,Somewhat agree,Extremely Hardworking,Extremely Intelligent,Yes,Worse,Yes,,Extremely important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,No,No,Yes,No,,Agree,Moderately Agree,Disagree,,Completely Agree,Completely Disagree,Completely Agree,Linked Fate Treatment Group
3/10/21 22:25,3/10/21 22:37,IP Address,*******,100,735,True,3/10/21 22:37,R_1NfUj9xD0c4wMVP,*******,*******,*******,*******,,,anonymous,EN,"Yes, I give my consent to be the subject of the research.",Insert Below,5f4e8c8a5e65110910d0a228,White,Male,31,Bachelor's Degree,,Independent,Yes,Moderate,51k-100k,No,,,No,Northeast,Somewhat Support,Neither Support Nor Oppose,Neither agree nor disagree,Strongly disagree,Neutral,Neutral,No,Same,No,,Slightly important,,,,,,,"Yes,Explain your opinion.",Yes he violated the rules. But the rule should not exist in the first place. The NCAA profits off athletes so why shouldn�t the athletes get something in return?,No,,No,No,,,Agree,Completely Disagree,Disagree,Moderately Agree,Neither Agree Nor Disagree,Completely Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Race Neutral Control Group
3/10/21 22:30,3/10/21 22:38,IP Address,*******,100,443,True,3/10/21 22:38,R_3rNTKvODMF38aZC,*******,*******,*******,*******,,,anonymous,EN,"Yes, I give my consent to be the subject of the research.",Insert Below,5b33a01fa8327d0001003821,White,Female,67,High School Degree or GED,,Independent,No,Moderate,25k-50k,No,,,No,Mid Atlantic,Neither Support Nor Oppose,Neither Support Nor Oppose,Somewhat disagree,Somewhat disagree,Moderately Hardworking,Moderately Intelligent,No,Same,Explain your opinion here.,"I don't see the point in the statement, so I don't feel that way.",Not at all important,Disagree,Completely Disagree,Disagree,Moderately Agree,Completely Disagree,Moderately Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retail Control Group
3/10/21 22:20,3/10/21 22:40,IP Address,*******,100,1205,True,3/10/21 22:40,R_2EjmnKAKkio5NFD,*******,*******,*******,*******,,,anonymous,EN,"Yes, I give my consent to be the subject of the research.",Insert Below,5690a966a3b94e000d6c3c13,White,Female,,Associate's Degree,,Independent,Yes,Conservative,25k-50k,No,,,No,Midwest,Neither Support Nor Oppose,Neither Support Nor Oppose,Neither agree nor disagree,Somewhat disagree,Neutral,Moderately Intelligent,No,Same,Explain your opinion here.,Maybe? It's hard to say. Some policies put in place do seem to hinder or harm black people. ,Slightly important,,,,,,,,,,,,,,,,,,,,,"Yes,Explain your opinion",It appears that he was taking a bribe or two. ,"Yes,Explain your opinion","If it is concluded that he acted against the rules, then it is more than fair. ",No,"No,Explain your opinion","If a pro team team wants to hire him, it's entirely up to them. ","Yes,Explain your opinion",This looks like a bribe. What did he do in return? ,"No,Explain your opinion",No because it appears he did some things wrong. ,"Yes,Explain your opinion","Athletes should keep their playing and their politics separate. People go to see a game, not a protest. ",NO,Disagree,Completely Disagree,Agree,Neither Agree Nor Disagree,Moderately Agree,Completely Disagree,,,,,,,,,,,,,,,,Racial Resentment Treatment Group
3/10/21 22:31,3/10/21 22:43,IP Address,*******,100,706,True,3/10/21 22:43,R_32MbAFmlwIEvMqr,*******,*******,*******,*******,,,anonymous,EN,"Yes, I give my consent to be the subject of the research.",Insert Below,600b4a718edfb21c2d3935af,White,Male,27,Bachelor's Degree,,Independent,Yes,Liberal,0k-24k,No,,,No,Midwest,Neither Support Nor Oppose,Somewhat Oppose,Strongly disagree,Somewhat agree,Neutral,Neutral,Yes,Worse,Yes,,Very important,,,,,,,,,,,,,,,,,,,,,Yes,,No,,No,No,,No,,No,,No,,,Disagree,Moderately Disagree,Disagree,Moderately Agree,Completely Disagree,Moderately Agree,,,,,,,,,,,,,,,,Racial Resentment Treatment Group
3/10/21 22:37,3/10/21 22:45,IP Address,*******,100,451,True,3/10/21 22:45,R_1pxrOAkT6djIHyY,*******,*******,*******,*******,,,anonymous,EN,"Yes, I give my consent to be the subject of the research.",Insert Below,6047d420202f3a0a85210abe,White,Female,19,"Some College, No Diploma",,Democrat,Yes,Moderate,51k-100k,No,,,No,Midwest,Somewhat Support,Somewhat Support,Neither agree nor disagree,Somewhat agree,Moderately Hardworking,Moderately Intelligent,Yes,Same,Yes,,Very important,,,,,,,No,,No,,No,No,,,Disagree,Moderately Agree,Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Race Neutral Control Group
